name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude
Elexoft Technologies,"Office# FF-10, New City, City Center, Wah Cantt, 47040, Pakistan",elexoft.com,https://www.elexoft.com,+92 51 4592013,Software Houses,Wah Cantt,,,33.7619206,72.7263032
Elexoft Technologies,"Minaar road, Lala Rukh St, Wah Cantt, 47040, Pakistan",exytex.com,https://www.exytex.com,+92 309 5930315,Software Houses,Wah Cantt,27,4.9,33.7541728,72.668697
I-Orbits Tech (Software House),"GT Rd, Phase-I Wah Model Town, Wah Cantt, Pakistan",iorbitstech.com,https://www.iorbitstech.com,+92 307 5230948,Software Houses,Wah Cantt,15,5,33.7541728,72.668697
I-Orbits Tech (Software House),"Lane 17, Phase II Wah Model Town, Wah Cantt, 47040, Pakistan",,,+92 345 5623056,Software Houses,Wah Cantt,2,4.5,33.7541728,72.668697
Prime Soft Wah,"First Floor, Oppostite Kohistan Enclave, CapregSoft (Pvt) Ltd, Sepal Center, GT Rd, Wah Cantt, 47040, Pakistan",capregsoft.com,https://www.capregsoft.com,+92 325 5177947,Software Houses,Wah Cantt,45,5,33.7541728,72.668697
CapregSoft (Private) Limited,"First Floor, Oppostite Kohistan Enclave, CapregSoft (Pvt) Ltd, Sepal Center, GT Rd, Wah Cantt, 47040, Pakistan",capregsoft.com,https://www.capregsoft.com,+92 325 5177947,Software Houses,Wah Cantt,3,5,33.7541728,72.668697
Mystery TechSol (Pvt) Ltd,"Office Number 1, 1st Floor, Rajput Plaza, Phase 2 Wah Model Town, Wah Cantt, 47040, Pakistan",mysterytechsol.com,https://www.mysterytechsol.com,+92 312 5307047,Software Houses,Wah Cantt,3,5,33.7541728,72.668697
Tesseract Technologies,"Town، Plot No 280, Street No 11, Wah Model Town, Wah Cantt Model، 1 Phase, Wah Cantt, 47040, Pakistan",tarisoft.biz,https://www.tarisoft.biz,+92 331 0100033,Software Houses,Wah Cantt,16,3.4,33.7541728,72.668697
Tari Soft Pvt-Ltd ( Software House),"QP2M+PJF, Wah, 47040, Pakistan",,,,Software Houses,Wah Cantt,2,3,33.7541728,72.668697
Dynamic Solutions Pakistan,"QQ34+XW7, Street 1, New City Wah Cantt, Wah, Pakistan",,,+92 302 5555496,Software Houses,Wah Cantt,2,5,33.7541728,72.668697
Dynamic Solutions Pakistan,"QQ34+XW7, Street 1, New City Wah Cantt, Wah, Pakistan",,,+92 323 7073228,Software Houses,Wah Cantt,1,5,33.7541728,72.668697
QuipSol,"Office#18 - 2nd Floor, Golden Square, E Block Phase 2 New City, Wah Cantt, 47040, Pakistan",quipsol.co,https://www.quipsol.co,+92 311 0871757,Software Houses,Wah Cantt,11,4.3,33.7541728,72.668697
Glaxit Software Company,"1st Floor, 47080, Station Chowk Museum, Gandhara Plaza, Road, Taxila, 47080, Pakistan",glaxit.com,https://www.glaxit.com,+92 343 5698913,Software Houses,Wah Cantt,71,4.9,33.7541728,72.668697
SOLIXSOFT,"M, Block, New City Phase II Phase 2 New City, Wah Cantt, 47040, Pakistan",solixsoft.com,https://www.solixsoft.com,+92 300 4723871,Software Houses,Wah Cantt,12,5,33.7434148,72.7459137
SOLIXSOFT,"Office # 1 1st Floor, Anwar Arcade, Wah Model Town Phase 1 Ext Rd, Phase-I Extension Wah Model Town, Wah Cantt, 47010, Pakistan",itextremes.com,https://www.itextremes.com,+92 303 3304987,Software Houses,Wah Cantt,29,5,33.7395722,72.6538271
IT Extremes,"Office # 1 1st Floor, Anwar Arcade, Wah Model Town Phase 1 Ext Rd, Phase-I Extension Wah Model Town, Wah Cantt, 47010, Pakistan",itextremes.com,https://www.itextremes.com,+92 303 3304987,Software Houses,Wah Cantt,29,5,33.7395722,72.6538271
ODL Wah Office,"QP7H+48J, GT Rd, Wah, Pakistan",,,+92 51 4916321,Software Houses,Wah Cantt,7,5,33.7475959,72.696945
ScriptExp Software House | Web Development | SEO | ERP Solutions | Designing,"Safdar Plaza, Main GT Rd, near Barrier 2, Wah Cantt, Pakistan",scriptexp.com,https://www.scriptexp.com,,Software Houses,Wah Cantt,6,4.8,33.7799456,72.6448965
Software house,"QPGQ+7W8, Street 7, Sector 22-F Sector 22 F Wah Cantt, 47040, Pakistan",,,+92 318 5977283,Software Houses,Wah Cantt,,,33.7799456,72.6448965
Trivorsoft,"Street 21, Phase-II Wah Model Town, Wah Cantt, 47040, Pakistan",trivorsoft.com,https://www.trivorsoft.com,+92 308 3888177,Software Houses,Wah Cantt,4,5,33.7799456,72.6448965
Trivorsoft,"Main GT Rd, Phase-I New City, Wah Cantt, 47040, Pakistan",btechx.net,https://www.btechx.net,+92 318 0979715,Software Houses,Wah Cantt,94,4.5,33.7549293,72.683243
Software Flux Solution,"Office 1 1st floor Shahzaib Basti barrier wah cantt Pakistan 21, Wah Cantt, 47040, Pakistan",softwarefluxsolution.com,https://www.softwarefluxsolution.com,+92 344 4200515,Software Houses,Wah Cantt,,,33.7549293,72.683243
Anemoia (SMC PVT) Limited,"Karbala Rd, Shah Wali Colony, Wah, Wah Cantt, 47040, Pakistan",anemoia.dev,https://www.anemoia.dev,,Software Houses,Wah Cantt,,,33.7549293,72.683243
Eweber Inc,"Syed Jamal Shah Plaza, GT Rd, opposite Barrier # 2, Cantt, Wah, 47040, Pakistan",eweberinc.com,https://www.eweberinc.com,+92 344 4880567,Software Houses,Wah Cantt,8,4.3,33.7549293,72.683243
TRIHUB (Private) Ltd.,"2nd Floor, Golden Square, New City Phase II Phase 2 New City, Wah Cantt, Pakistan",,,+92 347 0426219,Software Houses,Wah Cantt,2,5,33.7549293,72.683243
EezySOL,"Model, Office# 2, Malik Plaza, Civic Center Wah, Town, Phase-I Wah Cantt, 47000, Pakistan",eezysol.com,https://www.eezysol.com,+92 327 5500792,Software Houses,Wah Cantt,2,5,33.7549293,72.683243
ITNEXTGEN,"Hani Shareef Plaza, Phase 1 New City, Wah Cantt, 47040, Pakistan",itnextg.com,https://www.itnextg.com,+92 305 8786001,Software Houses,Wah Cantt,,,33.7549293,72.683243
CodeXpert,"QQ44+2MC, New City Wah Cantt, Wah, Pakistan",,,+92 311 5142669,Software Houses,Wah Cantt,1,3,33.7549293,72.683243
CodeXpert,"QQ44+2MC, New City Wah Cantt, Wah, Pakistan",,,+92 51 4902815,Software Houses,Wah Cantt,1,5,33.7549293,72.683243
FavoursSoft,"Quaid Avenue, Wah, 44000, Pakistan",,,+92 302 5440033,Software Houses,Wah Cantt,5,4,33.7549293,72.683243
Unza Technologies,"QP6P+463, Unnamed Road, Phase-I Extension Wah Model Town, Wah, Pakistan",,,+92 301 5161910,Software Houses,Wah Cantt,6,5,33.7549293,72.683243
MI-Technologies | Mubashir Iqbal | Lecturer | Data Science Research | AI | System Engineering & Automation,"Street 10, Jamilabad, Taxila, 47080, Pakistan",mubashiriqbal07.wordpress.com,https://www.mubashiriqbal07.wordpress.com,+92 318 5099232,Software Houses,Wah Cantt,22,4.8,33.7549293,72.683243
The Nexsoft Technologies,"CB#431 Jinnah Rd, Lalazar Colony, Wah Cantt, 47000, Pakistan",,,+92 318 5359606,Software Houses,Wah Cantt,3,3.7,33.7549293,72.683243
EQ Technologies Ltd,"Plaza # 75, Civic Centre, Opposite Savour Foods Wah Model Town Phase 1 Main, 1 GT Rd, Phase Wah Cantt, 47010, Pakistan",eqtechnologies.ltd,https://www.eqtechnologies.ltd,+92 317 5196355,Software Houses,Wah Cantt,27,4.5,33.7549293,72.683243
Softa Services Private Limited,"BLK D671, Lala Rukh St, Wah Cantt, 47010, Pakistan",softa.services,https://www.softa.services,+92 304 5776776,Software Houses,Wah Cantt,2,5,33.7807343,72.6500697
Rafenthic,,rafenthic.com,https://www.rafenthic.com,+92 325 5797737,Software Houses,Wah Cantt,12,4.9,42.16936,-58.0118855
Saturn7 Solutions - Software House Pakistan,"Office 7, Tariq Mir Arcade, Near HIT Gate 5, Taxila, Pakistan",saturn7.org,https://www.saturn7.org,+92 301 0502383,Software Houses,Wah Cantt,22,4.6,33.7408071,72.7460544
KitKat Development,"76/251 Shop #3 , Anwar Chowk، 1 Haider Ali Rd, Cantt, Wah, 47040, Pakistan",,,+92 331 5146580,Software Houses,Wah Cantt,1,5,33.7514601,72.7027368
KitKat Development,"Office # 3 2nd Floor, Golden Square Plaza Wah Cantt Phase 2 New City, 47040, Pakistan",,,+92 331 8244908,Software Houses,Wah Cantt,1,5,33.7514601,72.7027368
Mediahicon,"Shaheen Chowk, Wah Cantt, 46000, Pakistan",,,+92 314 5807199,Software Houses,Wah Cantt,11,4.9,33.7514601,72.7027368
HPSoft,"Shop no:1 76/383 Laiq Ali chowk, Wah, 47040, Pakistan",,,+92 51 4902365,Software Houses,Wah Cantt,1,5,33.8373377,72.6580019
Softystreet(PVT)LTD,"QQG3+4MX, Moulsary Rd, Wah, Pakistan",softystreet.com,https://www.softystreet.com,+92 349 9192912,Software Houses,Wah Cantt,1,5,33.7653194,72.6826232
COMADTEC Pvt. Ltd,"Al Behbood Plaza, Wah Cantt, 47040, Pakistan",comadtec.com,https://www.comadtec.com,+92 307 5125522,Software Houses,Wah Cantt,1,5,33.7653194,72.6826232
Digitalents,"A334, Gulistan colony, wah cantt, Gulistan Colony, Wah Cantt, 47040, Pakistan",,,+1 323-402-4519,Software Houses,Wah Cantt,7,4.1,33.7653194,72.6826232
