name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude
University of Wah,"Quaid Avenue, Wah, 47040, Pakistan",uow.edu.pk,https://www.uow.edu.pk,+92 51 9157000,Universities,Wah Cantt,553,4.2,33.7731527,72.7077719
"COMSATS University Islamabad, Wah Campus","GT Road, Quaid Avenue, Wah Cantt, Pakistan",cuiwah.edu.pk,https://www.cuiwah.edu.pk,+92 51 9314482,Universities,Wah Cantt,626,4.3,33.7731527,72.7077719
Wah Engineering College,"Quaid Avenue, Wah Cantt, 47040, Pakistan",wecuw.edu.pk,https://www.wecuw.edu.pk,+92 51 9157752,Universities,Wah Cantt,184,4.1,33.7731527,72.7077719
"Riphah International College, Wah Cantt Campus","Orakzai Plaza, Main GT Rd, near Kohistan Enclave, Wah Cantt, 47010, Pakistan",ric.edu.pk,https://www.ric.edu.pk,+92 331 9344477,Universities,Wah Cantt,27,4.9,33.7706885,72.6484251
"PWCT01- Virtual University G.T Road Campus, Wah Cantt","PQVJ+JQF Nawababad Stop, GT Rd, near Janjua CNG Station, Nawababad, Wah Cantt, Pakistan",vu.edu.pk,https://www.vu.edu.pk,+92 51 4546200,Universities,Wah Cantt,62,4.3,33.7440511,72.7098283
POF Institute of Technology,"PQWM+9P8, GT Rd, Wah, Pakistan",,,+92 51 9055210,Universities,Wah Cantt,161,4.5,33.7440511,72.7098283
Wah Medical College,"North Road, Wah, 47000, Pakistan",wahmedicalcollege.edu.pk,https://www.wahmedicalcollege.edu.pk,+92 51 9094000,Universities,Wah Cantt,188,4.5,33.7440511,72.7098283
The Scholars Science College Main Girls Campus 1,"Wah, Pakistan",scholars.edu.pk,https://www.scholars.edu.pk,+92 51 4510400,Universities,Wah Cantt,81,3.8,33.7908348,72.65025
Post Graduate College for Women,"QQ96+W97, Quaid Ave, Wah, 47040, Pakistan",,,+92 51 9314313,Universities,Wah Cantt,93,4.3,33.7697762,72.6888188
F.G Degree College for Men Wah Cantt,"Wah, Pakistan",fgdcwah.wahcity.com,https://www.fgdcwah.wahcity.com,+92 51 4623540,Universities,Wah Cantt,123,4.4,33.7697762,72.6888188
"Institute Of Nursing & Institute Of Allied Health Sciences , Wah Medical College , POF Hospital , Wah Cantt.","6 Haro Rd, Cantt, Wah, Pakistan",,,+92 51 9314387,Universities,Wah Cantt,34,4.2,33.7697762,72.6888188
Base College Of Science And Commerce,"QPR9+6WG, Wah, 47040, Pakistan",basecollege.edu.pk,https://www.basecollege.edu.pk,+92 51 4925076,Universities,Wah Cantt,49,4.1,33.7905651,72.6477401
"Cantt College for Girls, Wah Cantt","QPQH+84G, Gadwal Rd, Shah Wali Colony Wah, Pakistan",canttcollege.edu.pk,https://www.canttcollege.edu.pk,+92 51 4511021,Universities,Wah Cantt,7,4.3,33.7905651,72.6477401
"KIPS College,Wah Cantt girls campus contacts no","A-5, Jinnah Avenue, Lala Rukh St, Wah Cantt, 47040, Pakistan",kips.edu.pk,https://www.kips.edu.pk,+92 51 4568111,Universities,Wah Cantt,44,4.5,33.7905651,72.6477401
Wah cantt,"QPRC+8WC, Wah Cantt, Pakistan",,,+92 301 5379834,Universities,Wah Cantt,58,4.7,33.7905651,72.6477401
