name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude
Elexoft Technologies,"Office# FF-10, New City, City Center, Wah Cantt, 47040, Pakistan",elexoft.com,https://www.elexoft.com,+92 51 4592013,Software Houses,Pakistan,53,4.9,33.7422659,72.7481797
iCreativez Technologies,"Dominion center 1 main Jinnah Avenue, Behria Town Karachi, Bahria Town, Karachi, 78600, Pakistan",icreativez.com,https://www.icreativez.com,+92 310 0007149,Software Houses,Pakistan,931,4.8,25.0073128,65.0038352
Coding Souls | Software Company In Pakistan,"Office #16B, 3rd Floor, Muhammad Arcade, Commercial Market Rd, near post office, B-Block Block B Satellite Town, Rawalpindi, 46300, Pakistan",codingsouls.com,https://www.codingsouls.com,+92 347 9899980,Software Houses,Pakistan,100,4.9,33.6372856,70.7604345
Eziline Software House Pvt Ltd,"Office #304-B Amna Plaza, near Radio Pakistan, Rawalpindi, 46000, Pakistan",eziline.com,https://www.eziline.com,,Software Houses,Pakistan,970,4.4,33.6372856,70.7604345
Glaxit Software Company,"1st Floor, 47080, Station Chowk Museum, Gandhara Plaza, Road, Taxila, 47080, Pakistan",glaxit.com,https://www.glaxit.com,+92 343 5698913,Software Houses,Pakistan,71,4.9,33.6372856,70.7604345
I-Orbits Tech (Software House),"GT Rd, Phase-I Wah Model Town, Wah Cantt, Pakistan",iorbitstech.com,https://www.iorbitstech.com,+92 307 5230948,Software Houses,Pakistan,15,5.0,33.6372856,70.7604345
Exytex Technologies,"Minaar road, Lala Rukh St, Wah Cantt, 47040, Pakistan",exytex.com,https://www.exytex.com,+92 309 5930315,Software Houses,Pakistan,27,4.9,33.6372856,70.7604345
CapregSoft (Private) Limited,"First Floor, Oppostite Kohistan Enclave, CapregSoft (Pvt) Ltd, Sepal Center, GT Rd, Wah Cantt, 47040, Pakistan",capregsoft.com,https://www.capregsoft.com,+92 325 5177947,Software Houses,Pakistan,45,5.0,33.6372856,70.7604345
Software house in Pakistan,"Gt Road Dina Madani plaza office no 7 dina, 49400, Pakistan",alubaidiya.com,https://www.alubaidiya.com,+92 334 0800018,Software Houses,Pakistan,8,5.0,33.6372856,70.7604345
Software Development Hub,"2nd floor, Gulberg Express Way, Madni Arcade, Bhati Society Rd، Koral Town, Islamabad, 44000, Pakistan",softwaredevelopmenthub.com,https://www.softwaredevelopmenthub.com,+92 341 5240748,Software Houses,Pakistan,35,4.7,33.6372856,70.7604345
Saturn7 Solutions - Software House Pakistan,"Office 7, Tariq Mir Arcade, Near HIT Gate 5, Taxila, Pakistan",saturn7.org,https://www.saturn7.org,+92 301 0502383,Software Houses,Pakistan,22,4.6,33.6372856,70.7604345
Bit Technologies | Web development Company Pakistan,"National Incubation Center, Street 6, Sector H-9/1 H 9/1 H-9, Islamabad, 44000, Pakistan",bittechnologies.co,https://www.bittechnologies.co,+92 335 0805956,Software Houses,Pakistan,76,4.9,33.6372856,70.7604345
itecExperts Pvt Ltd - Leading Software Developement Company in Pakistan,"FF-906, 1st Floor, Saddar Rd، opposite State bank of Pakistan, Peshawar Cantonment, Peshawar, 25000, Pakistan",itecexperts.com,https://www.itecexperts.com,+92 336 9321077,Software Houses,Pakistan,37,4.9,34.000935,69.2382853
CodesOrbit,"Plot#395, Fazal Technology Park, 396, I 9/3 Industrial Area, Islamabad, 44000, Pakistan",codesorbit.com,https://www.codesorbit.com,+92 51 8356104,Software Houses,Pakistan,74,4.8,33.6681937,70.7511632
